height,grid position,latlon,pic,north neighbor,south neighbor,east neighbor,west neighbor,up neighbor,down neighbor,future neighbor,past neighbor,[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 22]","[39.6427174, -82.8164813]",[],"[51, 22]","[53, 22]","[52, 23]","[52, 21]","['Links/Photos_02Aug2018_67', [26, 11]]",[],"['Links/Photos_20AUG2018_33', '[52, 22]']","['Links/Photos_01JUN2018_33', '[52, 22]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 23]","[39.6427174, -82.8165855]",[],"[51, 23]","[53, 23]","[52, 24]","[52, 22]","['Links/Photos_02Aug2018_67', [26, 11]]",[],"['Links/Photos_20AUG2018_33', '[52, 23]']","['Links/Photos_01JUN2018_33', '[52, 23]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 24]","[39.6427174, -82.8166896]",[],"[51, 24]","[53, 24]","[52, 25]","[52, 23]","['Links/Photos_02Aug2018_67', [26, 12]]",[],"['Links/Photos_20AUG2018_33', '[52, 24]']","['Links/Photos_01JUN2018_33', '[52, 24]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 25]","[39.6427174, -82.8167938]",[],"[51, 25]","[53, 25]","[52, 26]","[52, 24]","['Links/Photos_02Aug2018_67', [26, 12]]",[],"['Links/Photos_20AUG2018_33', '[52, 25]']","['Links/Photos_01JUN2018_33', '[52, 25]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 26]","[39.6427174, -82.816898]",[],"[51, 26]","[53, 26]","[52, 27]","[52, 25]","['Links/Photos_02Aug2018_67', [26, 13]]",[],"['Links/Photos_20AUG2018_33', '[52, 26]']","['Links/Photos_01JUN2018_33', '[52, 26]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 27]","[39.6427174, -82.8170021]",[],"[51, 27]","[53, 27]","[52, 28]","[52, 26]","['Links/Photos_02Aug2018_67', [26, 13]]",[],"['Links/Photos_20AUG2018_33', '[52, 27]']","['Links/Photos_01JUN2018_33', '[52, 27]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 28]","[39.6427174, -82.8171063]",[],"[51, 28]","[53, 28]","[52, 29]","[52, 27]","['Links/Photos_02Aug2018_67', [26, 14]]",[],"['Links/Photos_20AUG2018_33', '[52, 28]']","['Links/Photos_01JUN2018_33', '[52, 28]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 29]","[39.6427174, -82.8172105]",[],"[51, 29]","[53, 29]","[52, 30]","[52, 28]","['Links/Photos_02Aug2018_67', [26, 14]]",[],"['Links/Photos_20AUG2018_33', '[52, 29]']","['Links/Photos_01JUN2018_33', '[52, 29]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 30]","[39.6427174, -82.8173146]",[],"[51, 30]","[53, 30]","[52, 31]","[52, 29]","['Links/Photos_02Aug2018_67', [26, 15]]",[],"['Links/Photos_20AUG2018_33', '[52, 30]']","['Links/Photos_01JUN2018_33', '[52, 30]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[52, 31]","[39.6427174, -82.8174188]",[],"[51, 31]","[53, 31]","[52, 32]","[52, 30]","['Links/Photos_02Aug2018_67', [26, 15]]",[],"['Links/Photos_20AUG2018_33', '[52, 31]']","['Links/Photos_01JUN2018_33', '[52, 31]']",[Utility=NaN],"[-1, -1, -1, -1]"
