height,grid position,latlon,pic,north neighbor,south neighbor,east neighbor,west neighbor,up neighbor,down neighbor,future neighbor,past neighbor,[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 8]","[39.6431452, -82.8150229]",[],"[47, 8]","[49, 8]","[48, 9]","[48, 7]","['Links/Photos_02Aug2018_67', [24, 4]]",[],"['Links/Photos_20AUG2018_33', '[48, 8]']","['Links/Photos_01JUN2018_33', '[48, 8]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 9]","[39.6431452, -82.8151271]",[],"[47, 9]","[49, 9]","[48, 10]","[48, 8]","['Links/Photos_02Aug2018_67', [24, 4]]",[],"['Links/Photos_20AUG2018_33', '[48, 9]']","['Links/Photos_01JUN2018_33', '[48, 9]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 10]","[39.6431452, -82.8152313]",[],"[47, 10]","[49, 10]","[48, 11]","[48, 9]","['Links/Photos_02Aug2018_67', [24, 5]]",[],"['Links/Photos_20AUG2018_33', '[48, 10]']","['Links/Photos_01JUN2018_33', '[48, 10]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 11]","[39.6431452, -82.8153354]",[],"[47, 11]","[49, 11]","[48, 12]","[48, 10]","['Links/Photos_02Aug2018_67', [24, 5]]",[],"['Links/Photos_20AUG2018_33', '[48, 11]']","['Links/Photos_01JUN2018_33', '[48, 11]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 12]","[39.6431452, -82.8154396]",[],"[47, 12]","[49, 12]","[48, 13]","[48, 11]","['Links/Photos_02Aug2018_67', [24, 6]]",[],"['Links/Photos_20AUG2018_33', '[48, 12]']","['Links/Photos_01JUN2018_33', '[48, 12]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 13]","[39.6431452, -82.8155438]",[],"[47, 13]","[49, 13]","[48, 14]","[48, 12]","['Links/Photos_02Aug2018_67', [24, 6]]",[],"['Links/Photos_20AUG2018_33', '[48, 13]']","['Links/Photos_01JUN2018_33', '[48, 13]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 14]","[39.6431452, -82.8156479]",[],"[47, 14]","[49, 14]","[48, 15]","[48, 13]","['Links/Photos_02Aug2018_67', [24, 7]]",[],"['Links/Photos_20AUG2018_33', '[48, 14]']","['Links/Photos_01JUN2018_33', '[48, 14]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 15]","[39.6431452, -82.8157521]",[],"[47, 15]","[49, 15]","[48, 16]","[48, 14]","['Links/Photos_02Aug2018_67', [24, 7]]",[],"['Links/Photos_20AUG2018_33', '[48, 15]']","['Links/Photos_01JUN2018_33', '[48, 15]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 16]","[39.6431452, -82.8158563]",[],"[47, 16]","[49, 16]","[48, 17]","[48, 15]","['Links/Photos_02Aug2018_67', [24, 8]]",[],"['Links/Photos_20AUG2018_33', '[48, 16]']","['Links/Photos_01JUN2018_33', '[48, 16]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[48, 17]","[39.6431452, -82.8159604]",[],"[47, 17]","[49, 17]","[48, 18]","[48, 16]","['Links/Photos_02Aug2018_67', [24, 8]]",[],"['Links/Photos_20AUG2018_33', '[48, 17]']","['Links/Photos_01JUN2018_33', '[48, 17]']",[Utility=NaN],"[-1, -1, -1, -1]"
